story,zone,word_text,gpt2_surprisal
1,1,If,
1,2,you,4.6836647567705745
1,3,were,5.995212019486991
1,4,to,2.357792196402705
1,5,journey,14.247714217744036
1,6,to,2.403062329676068
1,7,the,2.4336659544665014
1,8,North,6.557883530731222
1,9,of,6.547543245830746
1,10,"England ,",13.650158089564096
1,11,you,1.7962040038762597
1,12,would,0.9641795422174549
1,13,come,5.736380193730275
1,14,to,2.351223319053
1,15,a,2.8991239283452273
1,16,valley,9.319084940321115
1,17,that,4.674261777317302
1,18,is,2.5734013423445807
1,19,surrounded,7.558471026214405
1,20,by,0.18692955556013854
1,21,moors,13.628615800690996
1,22,as,8.636038644154384
1,23,high,6.60634411416074
1,24,as,0.05453211919967554
1,25,mountains .,11.638984027276566
1,26,It,4.29853850324866
1,27,is,0.7817563405687178
1,28,in,6.457235155862685
1,29,this,1.3231328739917898
1,30,valley,0.26736521793156476
1,31,where,4.519660725046593
1,32,you,2.125431080353538
1,33,would,2.987534017778366
1,34,find,1.9607408378526139
1,35,the,1.9940009066682742
1,36,city,8.405511723076668
1,37,of,0.33393071598705043
1,38,"Bradford ,",12.526555015554413
1,39,where,2.3300431396512926
1,40,once,9.084645069970968
1,41,a,3.2953217369990866
1,42,thousand,6.918800130456481
1,43,spinning,18.907651560070974
1,44,jennies,19.194867316534765
1,45,that,8.746128178624685
1,46,hummed,15.819664883680753
1,47,and,3.635721494407016
1,48,clattered,12.654105432618863
1,49,spun,15.730982029763346
1,50,wool,13.476971904110549
1,51,into,6.1547500057333675
1,52,money,13.005424368530072
1,53,for,7.156699603811384
1,54,the,1.3841046793236254
1,55,long - bearded,37.10111420555698
1,56,mill,10.435001937681086
1,57,owners .,7.739216021156023
1,58,That,6.979657223360191
1,59,all,10.182782500884743
1,60,mill,16.477569724048454
1,61,owners,1.414893959385665
1,62,were,2.689179546957471
1,63,generally,12.217611744902547
1,64,busy,11.317197264240916
1,65,as,7.654865238231198
1,66,beavers,12.363721841717506
1,67,and,2.337346210937531
1,68,quite,13.535447381265111
1,69,pleased,8.049520018541516
1,70,with,1.1967940747026689
1,71,themselves,4.58786835644818
1,72,for,4.682307469689966
1,73,being,4.236754767822101
1,74,so,3.540381880005313
1,75,successful,6.2066199732335905
1,76,and,4.678298554098354
1,77,well,5.73910990236477
1,78,off,5.094804418131395
1,79,was,5.796211582104239
1,80,known,7.09922644154605
1,81,to,2.139477591380107
1,82,the,2.587464019740331
1,83,residents,8.404199151485283
1,84,of,0.7224282594225037
1,85,"Bradford ,",4.940550426850128
1,86,and,2.551640033565608
1,87,if,7.034555461376806
1,88,you,1.2577198746753986
1,89,were,3.019225260852856
1,90,to,0.6000043012149727
1,91,go,3.0081416669353516
1,92,into,5.015023730187949
1,93,the,1.6139386823010147
1,94,city,3.242707428585929
1,95,to,4.788841778801631
1,96,visit,2.959716855897212
1,97,the,1.693001342677109
1,98,stately,15.371818965146284
1,99,City,10.062940174249313
1,100,"Hall ,",3.916922243648204
1,101,you,0.6354810974132665
1,102,would,0.16055037286959542
1,103,see,3.2531584703135605
1,104,there,5.890527555768006
1,105,the,4.833302389737383
1,106,Crest,17.09389775857007
1,107,of,1.038779166812334
1,108,the,3.056450905632111
1,109,City,4.996393193585282
1,110,of,2.4413630380058664
1,111,"Bradford ,",1.8818684332840365
1,112,which,2.60159824191884
1,113,those,13.35244958557984
1,114,same,7.9741035623463645
1,115,mill,1.752637358759693
1,116,owners,0.15968705220901114
1,117,created,10.072649626786424
1,118,to,3.5647511337019693
1,119,celebrate,5.495069272512858
1,120,their,1.6449117258255013
1,121,achievements .,8.188759580437159
1,122,It,4.429178244670558
1,123,shows,9.994636232563245
1,124,a,5.086438494062825
1,125,sinister,14.18680209039205
1,126,looking,7.606631671900819
1,127,boar 's,30.51868617080787
1,128,head,2.9792035221358737
1,129,sitting,7.064798266565729
1,130,on,1.8359154858910858
1,131,top,3.913320754956486
1,132,of,0.034117192726355654
1,133,a,1.2593116601004593
1,134,well,7.8897460720981565
1,135,which,5.771932447316635
1,136,seems,8.451667738984625
1,137,puzzling,16.919713729776216
1,138,at,3.740703832077295
1,139,"first ,",5.471930065607461
1,140,but,0.487153327311093
1,141,the,4.293463295221699
1,142,reason,8.35460761014369
1,143,for,2.865737280298532
1,144,this,1.5813127135190854
1,145,symbol,11.807375336424057
1,146,is,0.9820915353048165
1,147,a,6.591890004251627
1,148,matter,6.57944258791278
1,149,of,0.21833797316528442
1,150,legend .,5.4358024171903505
1,151,There,5.624198662294878
1,152,was,3.216630043200903
1,153,"once ,",15.571080128227745
1,154,legend,11.92857357427889
1,155,has,2.8362119867290083
1,156,"it ,",0.20695301189888982
1,157,a,0.7039129511959153
1,158,fearsome,11.724544364184908
1,159,"boar ,",8.014049631384196
1,160,which,2.846525958283902
1,161,lived,5.059260419712277
1,162,in,1.3297726941849757
1,163,a,3.0270308654449156
1,164,wood,8.916326337502142
1,165,located,11.802441498136105
1,166,just,5.695289410855529
1,167,outside,2.2821611058592763
1,168,the,0.877391765129905
1,169,manor,13.063351156534887
1,170,of,2.7740409463727067
1,171,Bradford .,3.2382541098244877
1,172,A,5.746849809584199
1,173,source,10.477227118120924
1,174,of,1.6907297958245129
1,175,great,5.306915780920023
1,176,trouble,7.62032974607674
1,177,to,2.1786992668052756
1,178,the,1.2019339482063547
1,179,local,6.777717258508892
1,180,folk,5.6909286187602515
1,181,the,8.305441209915031
1,182,boar,2.1126662592836083
1,183,"was ,",13.68905815743215
1,184,bringing,13.170325461760955
1,185,terror,6.47877563891795
1,186,to,1.0866257721782726
1,187,the,1.16981816595821
1,188,peaceful,14.342809616781514
1,189,flocks,12.61250160937322
1,190,and,3.6321243052815695
1,191,ravaging,12.17136139651059
1,192,the,1.3447957227031437
1,193,countryside,4.923159197229579
1,194,around .,12.845533473884126
1,195,Even,7.45902309024889
1,196,"worse ,",9.397959967625118
1,197,"however ,",8.790371403489745
1,198,the,1.9490950326494387
1,199,boar,0.8699518816449053
1,200,most,12.975718149211842
1,201,liked,9.309737339281419
1,202,to,1.1146321149753757
1,203,go,5.40512647369523
1,204,to,2.295088525776681
1,205,the,1.5551202717406323
1,206,well,6.283965386840819
1,207,that,7.146117167338493
1,208,was,2.0497482230321995
1,209,in,5.1502488730471505
1,210,the,0.9336305219186706
1,211,wood,7.279955442101138
1,212,and,2.488599964874496
1,213,drink,6.366242574944191
1,214,its,3.5304158293531147
1,215,fresh,10.718175499910322
1,216,"water ,",3.8568735551948747
1,217,so,4.721748594977635
1,218,that,2.1108381804451777
1,219,the,2.7444552868927303
1,220,people,4.122742653050921
1,221,of,1.816767453491973
1,222,Bradford,0.4343829876379404
1,223,had,5.6001561756348615
1,224,second,14.21055633412922
1,225,thoughts,1.3682202756986108
1,226,about,2.112296593324494
