story,zone,word_text,bert_surprisal
1,1,If,0.03576598502571956
1,2,you,0.006446448543736474
1,3,were,0.18167350777579483
1,4,to,0.002889508733049705
1,5,journey,6.919934528021572
1,6,to,0.8405587567425699
1,7,the,0.00028408737524941393
1,8,North,0.6583489855635535
1,9,of,0.0025582081732709746
1,10,"England ,",2.7877759538229006
1,11,you,0.004430514265021496
1,12,would,0.19365876373611038
1,13,come,0.3037088496858698
1,14,to,0.9591088917307414
1,15,a,0.059491513034654435
1,16,valley,0.907769662691081
1,17,that,0.6151967756399034
1,18,is,2.055230170028451
1,19,surrounded,1.4988160755532134
1,20,by,0.025890287071489652
1,21,moors,10.096796678898166
1,22,as,0.03215202759181393
1,23,high,1.9919914613755931
1,24,as,0.0002467740050423153
1,25,mountains .,6.072732557115691
1,26,It,0.003233259728268974
1,27,is,3.848207779374525
1,28,in,0.43190308380382414
1,29,this,0.3218639832458886
1,30,valley,0.05187886760240524
1,31,where,4.98136534955289
1,32,you,0.008190768472160681
1,33,would,1.2012757706015027
1,34,find,0.7133763395553041
1,35,the,0.00300175596454496
1,36,city,2.6939224845029655
1,37,of,0.004584472999712437
1,38,"Bradford ,",8.177889330998049
1,39,where,0.13674084745908757
1,40,once,7.439508562820789
1,41,a,0.2818918400258487
1,42,thousand,3.4162396431330118
1,43,spinning,6.509857031512481
1,44,jennies,31.575147905851317
1,45,that,2.5875259334946414
1,46,hummed,11.26251434850318
1,47,and,0.026787499063209565
1,48,clattered,41.47368986414087
1,49,spun,5.109559153714217
1,50,wool,9.474669389389456
1,51,into,11.911620212487437
1,52,money,10.648356735035453
1,53,for,0.8250343128058113
1,54,the,0.27697558696394714
1,55,long - bearded,32.88073975333366
1,56,mill,0.009640879829537019
1,57,owners .,14.395648190571396
1,58,That,9.454449045162214
1,59,all,11.312821337672363
1,60,mill,1.6471947955157051
1,61,owners,0.25177060507325416
1,62,were,0.1142789781007407
1,63,generally,19.132384729606425
1,64,busy,10.23929943961128
1,65,as,5.997688569659416
1,66,beavers,30.03349129593348
1,67,and,0.43248606199458633
1,68,quite,7.2696722554407485
1,69,pleased,0.5478451018916611
1,70,with,0.054154327060308344
1,71,themselves,1.1807941847276
1,72,for,1.5699826684628946
1,73,being,0.22638794360638853
1,74,so,0.7590299511444283
1,75,successful,5.321597251893577
